county,fips,leader,leader_votes,leader_pct,second,second_votes,second_pct,total_votes,eevp,precincts_reporting_pct,last_updated,fetched_at
Cook County,13075,Burt Jones,565,50.09,Rick Jackson,563,49.91,1128,99.0,100.0,2026-06-17T02:30:38.847000Z,2026-06-17T02:45:30.677034+00:00
Coweta County,13077,Rick Jackson,8602,55.59,Burt Jones,6873,44.41,15475,99.0,100.0,2026-06-17T02:16:06.360000Z,2026-06-17T02:45:30.677039+00:00
Crawford County,13079,Burt Jones,706,52.57,Rick Jackson,637,47.43,1343,99.0,100.0,2026-06-17T02:30:50.898000Z,2026-06-17T02:45:30.677044+00:00
Crisp County,13081,Rick Jackson,822,54.01,Burt Jones,700,45.99,1522,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677049+00:00
Dade County,13083,Burt Jones,834,50.92,Rick Jackson,804,49.08,1638,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677054+00:00
Dawson County,13085,Rick Jackson,2727,60.4,Burt Jones,1788,39.6,4515,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677062+00:00
DeKalb County,13089,Rick Jackson,8602,58.7,Burt Jones,6052,41.3,14654,99.0,100.0,2026-06-17T02:01:32.934000Z,2026-06-17T02:45:30.677072+00:00
Decatur County,13087,Burt Jones,852,61.96,Rick Jackson,523,38.04,1375,99.0,100.0,2026-06-17T02:22:44.275000Z,2026-06-17T02:45:30.677067+00:00
Dodge County,13091,Rick Jackson,1010,55.13,Burt Jones,822,44.87,1832,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677079+00:00
Dooly County,13093,Burt Jones,407,56.61,Rick Jackson,312,43.39,719,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677084+00:00
Dougherty County,13095,Rick Jackson,1249,51.76,Burt Jones,1164,48.24,2413,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677089+00:00
Douglas County,13097,Rick Jackson,3079,57.1,Burt Jones,2313,42.9,5392,97.05,96.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677093+00:00
Early County,13099,Burt Jones,407,57.08,Rick Jackson,306,42.92,713,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677098+00:00
Echols County,13101,Burt Jones,185,70.61,Rick Jackson,77,29.39,262,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677103+00:00
Effingham County,13103,Rick Jackson,3037,53.81,Burt Jones,2607,46.19,5644,99.0,100.0,2026-06-17T02:31:00.984000Z,2026-06-17T02:45:30.677108+00:00
Elbert County,13105,Burt Jones,1057,52.9,Rick Jackson,941,47.1,1998,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677113+00:00
Emanuel County,13107,Burt Jones,1196,59.77,Rick Jackson,805,40.23,2001,99.0,100.0,2026-06-17T02:23:02.785000Z,2026-06-17T02:45:30.677118+00:00
Evans County,13109,Rick Jackson,419,50.85,Burt Jones,405,49.15,824,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677123+00:00
Fannin County,13111,Rick Jackson,2142,53.23,Burt Jones,1882,46.77,4024,99.0,100.0,2026-06-17T02:06:44.356000Z,2026-06-17T02:45:30.677131+00:00
Fayette County,13113,Rick Jackson,6400,51.95,Burt Jones,5919,48.05,12319,99.0,100.0,2026-06-17T02:07:01.979000Z,2026-06-17T02:45:30.677136+00:00
Floyd County,13115,Rick Jackson,4501,54.39,Burt Jones,3775,45.61,8276,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677141+00:00
Forsyth County,13117,Rick Jackson,15335,60.03,Burt Jones,10211,39.97,25546,88.37,100.0,2026-06-17T02:42:34.278000Z,2026-06-17T02:45:30.677145+00:00
Franklin County,13119,Burt Jones,1311,55.29,Rick Jackson,1060,44.71,2371,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677150+00:00
Fulton County,13121,Rick Jackson,22812,60.43,Burt Jones,14937,39.57,37749,89.17,100.0,2026-06-17T02:42:35.172000Z,2026-06-17T02:45:30.677155+00:00
Gilmer County,13123,Rick Jackson,2870,52.7,Burt Jones,2576,47.3,5446,99.0,100.0,2026-06-17T02:23:44.301000Z,2026-06-17T02:45:30.677160+00:00
Glascock County,13125,Burt Jones,235,55.69,Rick Jackson,187,44.31,422,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677165+00:00
Glynn County,13127,Burt Jones,3822,53.22,Rick Jackson,3359,46.78,7181,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677170+00:00
Gordon County,13129,Rick Jackson,3071,54.77,Burt Jones,2536,45.23,5607,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677175+00:00
Grady County,13131,Burt Jones,904,55.84,Rick Jackson,715,44.16,1619,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677182+00:00
Greene County,13133,Rick Jackson,1944,50.97,Burt Jones,1870,49.03,3814,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677188+00:00
Gwinnett County,13135,Rick Jackson,20587,56.24,Burt Jones,16018,43.76,36605,92.98,96.15,2026-06-17T02:28:40.348000Z,2026-06-17T02:45:30.677192+00:00
Habersham County,13137,Rick Jackson,3112,52.1,Burt Jones,2861,47.9,5973,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677197+00:00
Hall County,13139,Rick Jackson,12594,58.7,Burt Jones,8862,41.3,21456,98.81,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677202+00:00
Hancock County,13141,Burt Jones,214,52.07,Rick Jackson,197,47.93,411,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677210+00:00
Haralson County,13143,Rick Jackson,1903,54.56,Burt Jones,1585,45.44,3488,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677215+00:00
Harris County,13145,Rick Jackson,2102,51.02,Burt Jones,2018,48.98,4120,99.0,100.0,2026-06-17T02:05:11.307000Z,2026-06-17T02:45:30.677220+00:00
Hart County,13147,Burt Jones,1412,54.86,Rick Jackson,1162,45.14,2574,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677225+00:00
Heard County,13149,Rick Jackson,859,60.79,Burt Jones,554,39.21,1413,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677233+00:00
Henry County,13151,Burt Jones,6031,53.91,Rick Jackson,5156,46.09,11187,99.0,100.0,2026-06-17T02:42:13.528000Z,2026-06-17T02:45:30.677244+00:00
Houston County,13153,Burt Jones,5558,51.72,Rick Jackson,5188,48.28,10746,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677249+00:00
Irwin County,13155,Burt Jones,578,55.05,Rick Jackson,472,44.95,1050,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677254+00:00
Jackson County,13157,Rick Jackson,5100,57.1,Burt Jones,3832,42.9,8932,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677259+00:00
Jasper County,13159,Burt Jones,1459,62.64,Rick Jackson,870,37.36,2329,99.0,100.0,2026-06-17T02:20:43.367000Z,2026-06-17T02:45:30.677265+00:00
Jeff Davis County,13161,Burt Jones,607,55.33,Rick Jackson,490,44.67,1097,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677269+00:00
Jefferson County,13163,Burt Jones,614,56.85,Rick Jackson,466,43.15,1080,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677274+00:00
Jenkins County,13165,Burt Jones,307,52.57,Rick Jackson,277,47.43,584,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677280+00:00
Johnson County,13167,Burt Jones,533,58.25,Rick Jackson,382,41.75,915,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677285+00:00
Jones County,13169,Burt Jones,1652,58.13,Rick Jackson,1190,41.87,2842,99.0,100.0,2026-06-17T02:39:13.005000Z,2026-06-17T02:45:30.677289+00:00
Lamar County,13171,Burt Jones,1297,58.16,Rick Jackson,933,41.84,2230,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677295+00:00
Lanier County,13173,Burt Jones,401,73.85,Rick Jackson,142,26.15,543,99.0,100.0,2026-06-17T02:40:44.467000Z,2026-06-17T02:45:30.677300+00:00
Laurens County,13175,Burt Jones,2126,51.65,Rick Jackson,1990,48.35,4116,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677304+00:00
Lee County,13177,Burt Jones,1627,51.31,Rick Jackson,1544,48.69,3171,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677308+00:00
Liberty County,13179,Rick Jackson,865,51.92,Burt Jones,801,48.08,1666,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677312+00:00
Lincoln County,13181,Burt Jones,602,52.58,Rick Jackson,543,47.42,1145,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677316+00:00
Long County,13183,Burt Jones,379,51.08,Rick Jackson,363,48.92,742,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677319+00:00
Lowndes County,13185,Burt Jones,3130,66.81,Rick Jackson,1555,33.19,4685,81.73,100.0,2026-06-17T02:35:04.164000Z,2026-06-17T02:45:30.677323+00:00
Lumpkin County,13187,Rick Jackson,2549,57.6,Burt Jones,1876,42.4,4425,97.47,100.0,2026-06-17T02:35:31.149000Z,2026-06-17T02:45:30.677328+00:00
Macon County,13193,Burt Jones,272,50.18,Rick Jackson,270,49.82,542,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677332+00:00
Madison County,13195,Rick Jackson,2174,56.45,Burt Jones,1677,43.55,3851,99.0,100.0,2026-06-17T02:37:23.247000Z,2026-06-17T02:45:30.677380+00:00
Marion County,13197,Rick Jackson,310,55.66,Burt Jones,247,44.34,557,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677401+00:00
McDuffie County,13189,Burt Jones,922,51.91,Rick Jackson,854,48.09,1776,99.0,100.0,2026-06-17T02:39:44.404000Z,2026-06-17T02:45:30.677407+00:00
McIntosh County,13191,Burt Jones,1223,54.4,Rick Jackson,1025,45.6,2248,99.0,83.33,2026-06-17T02:44:35.065000Z,2026-06-17T02:45:30.677411+00:00
Meriwether County,13199,Rick Jackson,732,63.16,Burt Jones,427,36.84,1159,43.87,100.0,2026-06-17T02:40:44.913000Z,2026-06-17T02:45:30.677415+00:00
Miller County,13201,Burt Jones,356,73.25,Rick Jackson,130,26.75,486,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677419+00:00
Mitchell County,13205,Burt Jones,722,55.97,Rick Jackson,568,44.03,1290,99.0,100.0,2026-06-17T01:57:31.941000Z,2026-06-17T02:45:30.677423+00:00
Monroe County,13207,Burt Jones,2503,53.96,Rick Jackson,2136,46.04,4639,99.0,100.0,2026-06-17T02:38:24.233000Z,2026-06-17T02:45:30.677427+00:00
Montgomery County,13209,Burt Jones,477,54.14,Rick Jackson,404,45.86,881,99.0,100.0,2026-06-17T02:38:13.187000Z,2026-06-17T02:45:30.677431+00:00
Morgan County,13211,Rick Jackson,1603,50.31,Burt Jones,1583,49.69,3186,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677435+00:00
Murray County,13213,Burt Jones,1663,53.75,Rick Jackson,1431,46.25,3094,98.88,100.0,2026-06-17T02:37:49.220000Z,2026-06-17T02:45:30.677442+00:00
Muscogee County,13215,Rick Jackson,6285,52.17,Burt Jones,5763,47.83,12048,99.0,100.0,2026-06-17T02:34:45.315000Z,2026-06-17T02:45:30.677448+00:00
Newton County,13217,Rick Jackson,3309,51.79,Burt Jones,3080,48.21,6389,99.0,100.0,2026-06-17T02:37:31.206000Z,2026-06-17T02:45:30.677453+00:00
Oconee County,13219,Rick Jackson,3549,51.5,Burt Jones,3342,48.5,6891,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677457+00:00
Oglethorpe County,13221,Rick Jackson,1000,52.03,Burt Jones,922,47.97,1922,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677461+00:00
Paulding County,13223,Rick Jackson,7594,55.93,Burt Jones,5983,44.07,13577,98.46,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677466+00:00
Peach County,13225,Rick Jackson,934,50.82,Burt Jones,904,49.18,1838,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677470+00:00
Pickens County,13227,Rick Jackson,3040,58.36,Burt Jones,2169,41.64,5209,99.0,100.0,2026-06-17T02:37:18.180000Z,2026-06-17T02:45:30.677474+00:00
Pierce County,13229,Burt Jones,1297,62.54,Rick Jackson,777,37.46,2074,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677478+00:00
Pike County,13231,Burt Jones,1686,53.85,Rick Jackson,1445,46.15,3131,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677482+00:00
Polk County,13233,Rick Jackson,2250,58.26,Burt Jones,1612,41.74,3862,99.0,100.0,2026-06-17T02:36:20.173000Z,2026-06-17T02:45:30.677488+00:00
Pulaski County,13235,Burt Jones,460,50.49,Rick Jackson,451,49.51,911,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677493+00:00
Putnam County,13237,Burt Jones,1790,53.42,Rick Jackson,1561,46.58,3351,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677497+00:00
Quitman County,13239,Rick Jackson,95,56.55,Burt Jones,73,43.45,168,99.0,100.0,2026-06-17T02:36:40.175000Z,2026-06-17T02:45:30.677501+00:00
Rabun County,13241,Rick Jackson,1507,57.19,Burt Jones,1128,42.81,2635,98.99,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677505+00:00
Randolph County,13243,Rick Jackson,217,58.02,Burt Jones,157,41.98,374,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677509+00:00
Richmond County,13245,Rick Jackson,4284,53.67,Burt Jones,3698,46.33,7982,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677516+00:00
Rockdale County,13247,Rick Jackson,1795,56.89,Burt Jones,1360,43.11,3155,99.0,100.0,2026-06-17T02:15:52.489000Z,2026-06-17T02:45:30.677520+00:00
Schley County,13249,Rick Jackson,255,54.26,Burt Jones,215,45.74,470,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677524+00:00
Screven County,13251,Rick Jackson,542,52.52,Burt Jones,490,47.48,1032,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677528+00:00
Seminole County,13253,Burt Jones,495,67.72,Rick Jackson,236,32.28,731,99.0,100.0,2026-06-17T02:33:35.192000Z,2026-06-17T02:45:30.677533+00:00
Spalding County,13255,Burt Jones,3198,51.02,Rick Jackson,3070,48.98,6268,99.0,100.0,2026-06-17T02:33:03.367000Z,2026-06-17T02:45:30.677538+00:00
Stephens County,13257,Burt Jones,1629,52.5,Rick Jackson,1474,47.5,3103,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677542+00:00
Stewart County,13259,Rick Jackson,96,51.06,Burt Jones,92,48.94,188,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677546+00:00
Sumter County,13261,Rick Jackson,800,50.25,Burt Jones,792,49.75,1592,99.0,100.0,2026-06-17T02:15:23.489000Z,2026-06-17T02:45:30.677550+00:00
Talbot County,13263,Rick Jackson,260,58.56,Burt Jones,184,41.44,444,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677554+00:00
Taliaferro County,13265,Burt Jones,43,54.43,Rick Jackson,36,45.57,79,99.0,100.0,2026-06-17T02:15:12.324000Z,2026-06-17T02:45:30.677558+00:00
Tattnall County,13267,Burt Jones,1037,53.43,Rick Jackson,904,46.57,1941,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677563+00:00
Taylor County,13269,Rick Jackson,431,53.94,Burt Jones,368,46.06,799,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677566+00:00
